Date,Austin_HPI
2020-01-31,0.0089073634204276
2019-12-31,0.013545347467609
2019-11-30,0.017088980553918998
2019-10-31,0.013521457965902
2019-09-30,-0.0005865102639296201
2019-08-31,-0.0029359953024075
2019-07-31,-0.0064782096584217
2019-06-30,-0.01357733175915
2019-05-31,-0.015348288075561003
2019-04-30,-0.015339233038348
2019-03-31,-0.0071047957371226
2019-02-28,-0.011771630370806002
2019-01-31,-0.012316715542521998
2018-12-31,-0.0081775700934579
2018-11-30,-0.0058582308142941
2018-10-31,-0.0046811000585137
2018-09-30,0.0029411764705882
2018-08-31,0.0023543260741613
2018-07-31,-0.0035211267605634
2018-06-30,-0.0029429075927016
2018-05-31,-0.0081967213114754
2018-04-30,-0.016821345707657
2018-03-31,-0.029310344827586
2018-02-28,-0.033010813887308
2018-01-31,-0.036178631995478
2017-12-31,-0.036578503095103986
2017-11-30,-0.043697478991597
2017-10-31,-0.046848856664808
2017-09-30,-0.049748462828396
2017-08-31,-0.047111609646662986
2017-07-31,-0.044307347167694994
2017-06-30,-0.045505617977528
2017-05-31,-0.0479375696767
2017-04-30,-0.043285238623751
2017-03-31,-0.038674033149171
2017-02-28,-0.035145524437123
2017-01-31,-0.032275711159737
2016-12-31,-0.032135076252723
2016-11-30,-0.03461330448891299
2016-10-31,-0.030810810810811006
2016-09-30,-0.031926406926407004
2016-08-31,-0.033080260303688
2016-07-31,-0.034127843986999
2016-06-30,-0.033134166214014
2016-05-31,-0.023939064200218
2016-04-30,-0.01368363437329
2016-03-31,-0.0082191780821918
2016-02-29,-0.0049180327868852
2016-01-31,0.0027427317608338
2015-12-31,0.0076838638858397
2015-11-30,0.016492578339747
2015-10-31,0.023796347537355
2015-09-30,0.023255813953488
2015-08-31,0.021606648199446
2015-07-31,0.02441731409545
2015-06-30,0.02734375
2015-05-31,0.024526198439242003
2015-04-30,0.021812080536913
2015-03-31,0.021836506159015
2015-02-28,0.011608623548921998
2015-01-31,0.010532150776053002
2014-12-31,0.015041782729805
2014-11-30,0.012806236080178002
2014-10-31,0.0072463768115942
2014-09-30,0.013468013468014
2014-08-31,0.019198193111237
2014-07-31,0.028538812785388
2014-06-30,0.027522935779817
2014-05-31,0.04
2014-04-30,0.056113408151211006
2014-03-31,0.07396271797955499
2014-02-28,0.11186232329441
2014-01-31,0.12820512820513
2013-12-31,0.14623243933589006
2013-11-30,0.17462393721385994
2013-10-31,0.1872931833223
2013-09-30,0.18013245033112998
2013-08-31,0.18303273213093
2013-07-31,0.17034068136273
2013-06-30,0.16421895861148
2013-05-31,0.15461847389557998
2013-04-30,0.1416048550236
2013-03-31,0.12593094109682
2013-02-28,0.10305084745763
2013-01-31,0.07894736842105299
2012-12-31,0.047491638795986994
2012-11-30,0.011912640635341
2012-10-31,-0.0078791858174655
2012-09-30,-0.015645371577575003
2012-08-31,-0.031067961165049
2012-07-31,-0.029812054439404
2012-06-30,-0.021554539516656004
2012-05-31,-0.020969855832241
2012-04-30,-0.023056653491436
2012-03-31,-0.016644474034621
2012-02-29,-0.00472334682861
2012-01-31,0.015764222069911002
2011-12-31,0.043265875785066
2011-11-30,0.05664335664335701
2011-10-31,0.06354748603352
2011-09-30,0.057201929703653
